total_games,100000000
state,p1_wins,p2_wins,draws
001120000,163044,153645,79300
001122000,70903,22089,39534
101122000,59829,6658,13333
101122200,39876,0,19734
111122200,59798,0,0
201000000,814168,415976,159358
201000010,203401,154284,39787
201002010,75118,30654,26335
201002110,59383,19808,0
201202110,49477,9913,0
201212110,59655,0,0
101212120,59414,0,0
000000201,814537,416855,158335
000001201,252246,145603,0
002001201,57262,75307,0
012001201,26347,52776,0
012021201,0,59450,0
001000201,251144,66220,79150
001002201,57500,22249,53061
001012201,39712,13149,26795
021012201,39476,0,19817
021112201,39444,0,39675
021112221,158219,0,0
121112221,475394,0,0
112020100,33030,19718,26400
112220100,0,19745,39604
112220101,0,39721,39398
112220121,0,0,158609
112221121,0,0,791478
020120110,59579,19820,0
020120112,39550,19822,0
020121112,39381,39586,0
022121112,158629,0,0
122121112,475700,0,0
020000010,813348,298695,277496
021000010,232033,46318,119738
021002010,84579,8760,39945
021102010,39754,0,40021
021102210,0,0,59478
021112210,0,0,79733
221112210,0,0,158788
221112211,0,0,793432
010002000,833204,396997,158489
210212001,49393,9994,0
210212011,59191,0,0
001001002,156982,180624,59100
201001002,57795,75263,0
201001102,40308,39663,0
201021102,0,59381,0
000101002,212159,165633,19667
001101202,19825,46042,13076
021101202,29861,9841,19745
021111202,59883,0,0
201000100,270616,106065,19766
201200100,110672,22198,0
201200110,59168,19964,0
201220110,29900,29626,0
201220111,59788,0,0
001002102,109944,21998,0
101002102,72569,6551,0
121002102,59517,0,0
121102102,59847,0,0
000000021,892583,257915,238507
010200121,39667,13305,26479
012200121,19782,0,39900
012201121,0,0,79508
012221121,0,0,158437
001020000,676294,514076,199053
001020001,223168,114815,59812
001220001,79556,52703,0
101220001,39631,39729,0
101220201,49443,9930,0
101220211,40011,39754,0
121220211,158781,0,0
121221211,475097,0,0
001001020,262448,135009,0
001201020,114272,17844,0
011201020,65978,13338,0
011201022,49220,9965,0
011211022,39727,39938,0
011211222,0,119600,0
021001000,250717,85775,59088
021001002,57336,35203,39616
021011002,59623,6679,13315
021011202,29954,9952,19936
121011202,0,39607,39585
121211202,0,0,158562
121211212,0,0,792626
002100000,756015,555175,79121
002101000,211492,165384,19912
002101200,70121,61538,0
002101201,33138,46118,0
022101201,30087,29747,0
022101211,0,79303,0
222101211,0,119264,0
020210001,113926,17807,0
020210101,72486,6526,0
020212101,59896,0,0
120212101,59231,0,0
100020000,674011,515937,197656
100020010,162863,154543,79030
102020010,48392,70250,13165
102020011,33002,46197,0
102220011,29804,29986,0
102220111,59354,0,0
010020000,575795,615059,198907
110020000,212162,145610,39811
110220000,59225,46675,26498
110220010,19456,46332,13213
110220210,29529,29690,0
110221210,39602,39694,0
110221212,158906,0,0
111221212,476903,0,0
211000000,156914,180598,59730
211020000,30957,74850,26718
211120000,13172,39689,26537
211120200,19837,19668,19777
211121200,39692,39590,0
211121220,159020,0,0
211121221,476221,0,0
001102000,231217,46330,119007
001102200,56957,8909,66002
001112200,26487,13104,40105
021112200,19615,0,39981
221112201,0,0,158853
120000000,891614,258679,238025
120010000,310665,26574,59669
120210000,106042,0,26346
121210000,66376,0,13157
121212000,59865,0,0
121212100,59691,0,0
010000200,754841,555157,79274
010000201,203670,154409,39807
210000201,48436,57855,26483
210100201,39487,13216,26603
210102201,19897,0,39787
210102211,39860,0,39946
212102211,158701,0,0
000200100,892161,257385,238287
001200100,282151,95190,19571
001200102,97167,21955,13155
001200112,39785,26378,13153
001220112,0,39747,19776
101220112,0,39582,39685
121220112,0,0,158943
121221112,0,0,793630
010100200,182725,174003,39635
010120200,43868,74657,13209
010120210,13207,52872,13057
012120210,0,59296,0
101000002,251352,65737,79316
101200002,96712,8874,26369
101200012,46382,6698,26959
101200212,39728,0,19921
111200212,59525,0,0
002100001,203141,154290,39697
002100021,75001,30969,26451
002101021,32730,33002,12963
002101221,39782,20027,0
002111221,59258,0,0
010020010,96798,260334,39835
010220010,35002,83860,13280
010220110,19677,46548,13291
012220110,29830,9965,19894
112220110,0,39733,39588
112222110,0,119273,0
000000210,694326,456289,237757
000010210,271410,66451,59413
020010210,70721,21966,39693
021010210,26097,13330,39880
021012210,19385,0,39806
121012210,39328,0,39775
121212210,158283,0,0
121212211,475616,0,0
000200001,952501,357285,79546
010200001,213459,143542,39882
010202001,78997,52854,0
010202101,46564,33142,0
012202101,49865,9794,0
012212101,79221,0,0
212212101,158490,0,0
212212111,158490,0,0
200000001,754565,357031,277523
210200001,65839,53027,13331
210200101,59255,6446,13223
210200121,39798,0,19935
210210121,39771,0,39934
210212121,158701,0,0
211212121,476645,0,0
000012001,310800,26550,59876
200012001,75401,17381,39646
200012011,52796,13054,13022
202012011,49439,10010,0
212012011,59546,0,0
200001000,754877,554592,79431
200011000,261900,114186,20122
200011200,79367,52686,0
200111200,79431,0,0
211100022,19862,39386,0
211100122,39644,39542,0
211102122,157853,0,0
211112122,475615,0,0
120000010,230628,46495,119339
122000010,96429,22410,13308
122010010,52912,13329,13265
122010210,59717,0,0
122010211,59472,0,0
021010000,310131,26427,59579
021010002,96556,8828,26614
221011002,59601,0,0
221011102,59777,0,0
100200000,892472,258023,237129
100201000,231178,46154,118071
100201200,97186,21926,13175
100201201,66860,13159,0
120201201,59448,0,0
120201211,79274,0,0
120221211,158203,0,0
000100002,754351,555636,79439
000100102,251803,145559,0
000120102,70837,61784,0
010120102,32959,46151,0
010122102,29570,29971,0
011122102,39637,39726,0
011122122,158746,0,0
111122122,158746,0,0
100100002,223034,134279,39810
100120002,87797,30831,13186
101120002,52639,13284,13199
101120022,39722,19834,0
101120122,59256,0,0
120100000,250918,85938,59710
120120000,59765,46487,26391
120120001,19952,46695,13056
120122001,29941,9875,19884
120122101,60028,0,0
020000110,270642,85990,39396
020002110,114487,17775,0
120002110,65865,12995,0
120202110,49502,9732,0
121202110,39646,39335,0
121202112,159049,0,0
121212112,477708,0,0
001002001,196572,100843,99494
001002021,83786,22063,26498
101002021,59621,20034,0
101202021,49594,10030,0
100020001,153892,203211,39424
100220001,52945,66090,12949
100220011,32706,46477,0
120221011,78839,0,0
001000210,183220,94737,118992
001002210,61760,17376,52869
011002210,53391,13188,13334
011202210,40013,19837,0
011212210,59519,0,0
100002120,115158,17582,0
100102120,79404,0,0
200000100,811917,416589,158962
200001100,202598,153638,39635
200021100,48542,70663,13442
200021101,52861,13296,13273
220021101,39609,19795,0
221021101,59424,0,0
012020010,31051,87544,13115
012120010,13515,65940,0
212120010,19954,39604,0
212120011,39674,39722,0
212122011,158731,0,0
212122111,476616,0,0
100001200,203136,154465,39651
100021200,48669,70838,13337
101021200,52520,13342,13362
101221200,59897,0,0
101221210,79424,0,0
101221212,159779,0,0
000201120,83981,8845,39283
010201120,39479,0,39536
010201122,39838,0,19703
011201122,79390,0,0
211201122,159997,0,0
010000210,211684,164970,19719
010200210,77501,55192,0
011200210,39319,39882,0
011202211,0,79469,0
211202211,0,118621,0
100010122,59184,6531,13260
120010122,59504,0,0
120011122,79415,0,0
120211122,158963,0,0
121211122,476213,0,0
011200000,262924,134571,0
211200000,61798,70478,0
211200001,32992,46551,0
211220001,29879,29886,0
211220101,40063,39705,0
211222101,0,119213,0
000102000,813620,298083,277791
000102001,232396,46604,118799
000122001,71000,22220,39667
100122001,46444,19868,13432
102122001,39891,19706,0
112122001,39814,39742,0
112122201,0,118856,0
000001102,212442,105764,79081
002001102,70619,22345,39573
122001102,39318,0,19840
122011102,39528,0,39748
122211102,0,0,158816
122211112,0,0,792425
201001000,250691,145434,0
201201000,85767,46391,0
201201100,66113,13201,0
201201120,59549,0,0
201211120,59502,0,0
001010002,281428,74943,39663
001010202,53018,53151,26134
001010212,46467,6661,26310
001012212,39800,0,19953
001112212,39507,0,39810
021112212,0,0,158821
121112212,0,0,793400
000102012,61994,57301,13270
100102012,33148,32748,13370
102102012,0,59302,0
000011002,271401,66278,59571
200011002,114617,17535,0
210011002,66386,13151,0
210011202,39900,19662,0
210111202,59341,0,0
100012000,301728,74614,19774
120012000,110286,8965,13301
120112000,59616,6712,13329
120112200,39606,0,20027
121112200,39592,0,39569
121112202,0,0,158988
010020100,163092,154365,79328
210020100,43996,61872,26569
211020100,13239,52868,13369
211220100,19647,39460,0
211220110,0,78995,0
211220112,0,119472,0
010200201,66431,66270,0
110200201,60073,19800,0
110220201,29980,29701,0
110220211,0,79598,0
110222211,0,119099,0
101020000,222528,114322,59120
101020002,88069,17505,26464
101021002,33334,19759,26396
101221002,39661,0,19624
111221002,59638,0,0
200100100,155826,181152,59417
200102100,70717,35221,26529
200102110,46943,33138,0
220102110,49713,9861,0
220102111,59507,0,0
100002000,951282,357462,78752
100102000,270331,85662,39491
100102002,77075,41450,13032
100102102,79211,0,0
010200010,222825,154412,19836
010200012,87275,30746,13226
011200012,52505,26571,0
011200212,49445,9759,0
011210212,59602,0,0
110200000,250855,86229,59435
110200002,88084,17625,26261
111200002,79292,0,0
001020201,88108,17535,26551
001021201,79554,0,0
000020001,675381,516294,198245
010020001,163625,154489,79490
010220001,52800,66742,13285
110220001,19623,46780,13029
110220021,29734,9964,19819
110221021,39657,0,39617
110221221,158390,0,0
111221221,158390,0,0
120000001,281265,94952,19523
120200001,114082,17477,0
122200011,59384,0,0
122200111,59798,0,0
000100020,833197,396258,158025
100100020,262371,134046,0
102100020,101638,30590,0
102101020,52779,26504,0
102121020,29677,29772,0
102121021,0,78947,0
122121021,0,118330,0
000000012,695295,456439,238098
010000012,211958,165267,19879
210000012,70771,61942,0
210100012,33306,46234,0
210100212,39626,19915,0
211100212,40043,40019,0
211102212,158872,0,0
211112212,475958,0,0
200110000,271020,66365,59493
220110000,85764,32916,13206
220111000,78986,0,0
010001002,183153,173794,39711
010001022,62086,57596,13186
010011022,33386,32945,13456
012011022,29652,9709,19955
012111022,59480,0,0
000002110,261972,134085,0
000002112,61845,70679,0
000102112,33209,46231,0
010002010,222316,154255,20019
012002010,77173,55563,0
012002011,59896,19739,0
012002211,39918,20024,0
112002211,39717,39752,0
112022211,0,118929,0
000010021,310463,26558,59716
022110021,49310,9834,0
022111021,59295,0,0
002000010,755013,556014,79532
002000011,251493,145462,0
002000211,57377,74864,0
002001211,13250,66100,0
002201211,20083,39859,0
012201211,0,79219,0
212201211,0,118522,0
011002000,250959,86145,59601
011002020,96901,8812,26506
011002021,46277,6728,26632
211122021,0,0,159043
102000000,812118,416042,158855
102000001,270357,106219,19864
102000201,79583,53464,0
102000211,39615,39866,0
102002211,39380,20026,0
102012211,59539,0,0
000112000,215711,101599,79591
020112000,83828,22282,26091
020112010,26249,26514,26087
020112210,19656,0,39581
120112210,39425,0,40156
120112212,0,0,158482
001120002,48446,70621,13166
101120202,29623,10067,19765
101120212,39659,0,39588
101122212,158678,0,0
111122212,475948,0,0
000201000,813149,297874,276866
000211000,214931,101662,79505
200211000,61831,57023,13313
210211000,33157,33188,13226
210211020,19781,20125,19734
211211020,39413,39610,0
211211220,0,119166,0
100201002,56725,8693,65867
100201102,26375,0,52815
100221102,19618,0,39567
101221102,39505,0,39710
101221122,158225,0,0
111221122,475388,0,0
102001000,211102,105685,79533
102001200,70851,61604,0
102001201,39517,39812,0
102021201,0,59414,0
010020201,48608,70728,13156
010021201,33296,46415,0
210021201,29787,29765,0
211021201,59497,0,0
210010000,271353,66511,59315
210210000,86226,33860,13206
210210100,66087,0,13278
210212100,59746,0,0
210212101,79232,0,0
000100021,222946,94628,79627
000100221,96769,21994,13295
010100221,52899,13151,13086
010120221,39834,19758,0
110120221,39750,40032,0
112120221,0,119262,0
020010100,302147,74838,19976
220010100,88122,43975,0
220110100,46317,33155,0
220110102,49524,9774,0
221110102,59148,0,0
002100102,77168,55224,0
002101102,59822,19891,0
022101102,49530,9892,0
022101112,39891,39458,0
222101112,0,118569,0
002121100,33285,33169,13250
002121120,29772,9984,19832
002121121,0,39648,39504
022121121,0,118996,0
200110200,97251,8531,26438
020100000,833394,396503,158886
020110000,291201,66118,39456
020112001,53130,13391,13333
022112001,39827,20057,0
022112101,39559,39487,0
022112121,158726,0,0
122112121,158726,0,0
001012002,109930,8676,13172
101012002,59504,6589,13269
101212002,59482,0,0
101212102,59368,0,0
021200100,100923,17799,13298
121200100,39477,26562,13241
121200102,39568,0,19947
121201102,39518,0,39251
121201122,158613,0,0
000121000,97013,260403,39407
002121000,30821,88936,13170
002121001,0,66570,13340
002121201,0,59501,0
100200001,282929,94226,19696
100202001,87896,44250,0
101202001,46154,33063,0
101202121,39417,39719,0
121202121,158176,0,0
121212121,158176,0,0
001100020,213851,143124,39589
001102020,88299,17432,26424
001102120,59491,6628,13363
021102120,49821,9847,0
121102120,59592,0,0
002001210,61759,70475,0
002211211,40183,39591,0
022211211,158958,0,0
122211211,476428,0,0
002100100,223161,134425,39691
002102100,77689,41889,13367
002112100,19869,46499,13130
202112100,0,39801,19848
202112110,0,79247,0
202112112,0,119016,0
002001100,182812,94716,119636
002201100,57437,8846,66836
002201110,46214,6603,26445
022201110,30069,10007,19588
022211110,0,39523,39403
022211112,0,0,158148
200100001,183153,94717,118843
200100201,70050,22043,39384
200110201,46426,6485,26429
202110201,50066,9851,0
202111201,59775,0,0
002102001,97867,22217,13121
002112001,53167,13212,13376
022112011,39811,40097,0
022112211,158640,0,0
122112211,476336,0,0
012000100,182998,94715,119349
012002100,66611,53256,13187
012102100,33220,32985,13224
212102100,19964,20013,19624
212112100,0,39732,39481
212112102,0,119011,0
110120200,33265,46388,0
110120220,29785,29899,0
110121220,0,79144,0
110121222,0,119357,0
101220000,77321,41626,13328
101220010,32994,32933,13469
101220012,29562,9941,20177
111220012,59316,0,0
000120120,59709,46356,26484
001120120,19752,46317,13295
201120120,0,39760,19706
201120121,0,39616,39687
010212001,72231,6528,0
012212001,59243,0,0
012212121,158668,0,0
112212121,476874,0,0
000020011,211800,145212,39855
200020011,88377,30661,13311
210020011,33077,33095,13418
210020211,0,39941,19744
210021211,0,79083,0
210221211,0,119155,0
012122100,49372,9869,0
112122100,58935,0,0
101002000,291226,65689,39584
101002200,97103,8796,26390
101002210,46109,6618,26609
101202210,49876,9923,0
101212210,79192,0,0
002010000,912715,317565,158369
002010001,281876,75398,39762
002010201,114654,17575,0
002010211,59632,19773,0
022010211,39674,19865,0
000210001,301082,74162,19895
021210001,72836,6792,0
221210001,49477,10020,0
221211001,59263,0,0
010100020,202420,114816,79555
210100020,57424,22329,53180
210100021,26586,0,53027
210100221,39468,0,19505
211100221,39758,0,39471
100101202,19663,46270,13426
120101202,29463,9956,19865
121101202,0,39779,39267
121121202,0,0,158119
121121212,0,0,792592
201000001,251903,65679,79549
201000021,97660,8863,26402
211000021,46401,6648,26306
211020021,39562,0,19792
211021021,59348,0,0
010102020,74783,17671,39774
010102021,39622,0,39708
010122021,39825,0,19663
010122121,39911,0,39355
012122121,158975,0,0
112122121,476581,0,0
211210000,46104,33503,0
211210200,0,59804,0
002000101,251910,65656,79138
022000101,90208,41666,0
022000111,79442,0,0
010000212,96980,35428,0
011000212,60013,19937,0
011020212,39940,19966,0
011021212,39989,39727,0
011221212,158218,0,0
120001000,222851,94421,79331
120001020,79431,53032,0
120101020,39608,39996,0
120101220,29761,30027,0
120101221,39694,39763,0
002210010,101511,17714,13230
002211010,46286,19942,13255
202211010,29809,30057,0
202211110,39783,39894,0
202211112,158464,0,0
212211112,476556,0,0
021010021,79757,0,0
221010021,59757,0,0
221010121,59862,0,0
110020002,88547,30728,13261
110020102,52664,13224,13212
110022102,39501,20050,0
110122102,59238,0,0
010102000,202685,114383,79245
210102000,57144,22063,53078
210102100,26454,26735,26699
212102101,39769,0,39635
212122101,158967,0,0
000120010,152565,185405,59568
000122010,70731,35032,26433
001122010,39648,13066,26258
021122010,39654,0,19972
021122110,79677,0,0
012000010,211134,165469,19586
012200010,88333,30938,13153
012210010,79313,0,0
220001100,65348,66077,0
220001110,33068,46528,0
220021110,29892,30102,0
220121112,0,118815,0
002100201,70750,61861,0
002100211,26578,53085,0
202100211,19920,39569,0
202101211,0,79165,0
100000200,815125,416166,158779
100000210,211702,105518,79168
100020210,44091,61613,26371
100120210,13193,39507,26610
102120210,0,59485,0
000100210,171896,125644,98836
002100210,61953,70720,0
012100210,33253,46194,0
212100210,39759,19578,0
212110210,59355,0,0
000201001,271962,86163,39669
200201001,77246,42143,13446
200201101,59802,6647,13336
200221101,59308,0,0
210221101,79355,0,0
212221101,158492,0,0
212221111,476639,0,0
011122000,39498,13154,26522
011122200,39769,0,20032
011122210,39974,0,39853
211122210,0,0,159208
211122211,0,0,794860
002100010,174396,222367,0
022100010,66223,66411,0
022100110,39324,39748,0
022102110,39477,20003,0
122102110,59209,0,0
000102100,271567,85743,39789
002102101,59838,6678,13247
002102121,39701,0,19567
002112121,39689,0,39477
202112121,0,0,158674
012001000,172295,125608,99251
012021000,26598,65944,39899
012021001,13319,39516,26568
001202100,88125,44059,0
001202101,46254,32935,0
001222101,0,59719,0
000010020,1011474,217177,158949
010010020,216714,101290,78960
010010220,61845,57125,13143
010110220,33439,33370,13110
010112220,19790,19905,19790
110112220,39493,39610,0
112112220,158839,0,0
112112221,476106,0,0
200010201,52975,52729,26735
200010211,19843,46218,13128
200012211,29921,9968,19693
201012211,0,39624,39686
201212211,0,118481,0
001000120,282735,94708,19717
021000120,88146,44093,0
021100120,46237,32898,0
021112120,59551,0,0
010001200,174443,222662,0
012001200,61894,70391,0
