total_games,1000000
state,p1_wins,p2_wins,draws
000210100,3068,277,602
020210100,1078,95,137
020210101,765,74,0
000100020,8311,3943,1623
010100020,2085,1198,834
010100022,675,676,0
010100122,550,191,0
012100122,472,105,0
112100122,596,0,0
100020000,6707,5280,1926
100020010,1590,1516,793
100020210,443,607,264
101020210,461,68,254
101020212,404,0,197
101120212,416,0,390
101122212,1641,0,0
111122212,4768,0,0
000100210,1723,1197,985
000120210,239,625,366
010120210,109,480,104
010122210,201,213,167
011122210,377,0,386
211122210,0,0,1599
001020000,6843,5404,1960
101020000,2236,1196,598
101220010,329,374,142
101220012,307,99,202
111220012,611,0,0
012000000,6992,4599,2451
112000000,1569,1851,590
112002000,638,731,0
112002001,502,277,0
112002201,407,227,0
112012201,587,0,0
000210010,2991,675,390
000210012,977,75,257
001210012,577,69,130
001212012,611,0,0
001212112,595,0,0
201000010,2069,1546,415
201000012,722,640,0
211000012,305,421,0
211002012,342,184,0
211102012,419,399,0
211122012,0,1175,0
200001000,7612,5501,794
220011000,893,454,0
220111000,800,0,0
200000100,8121,4149,1605
200100100,1548,1875,616
200100102,558,723,0
201100102,380,411,0
221100102,363,201,0
221101102,368,443,0
221121102,0,1277,0
000002100,9420,3591,812
100002100,2746,1199,0
102002100,854,417,0
112002100,334,464,0
112202100,195,411,0
112212100,393,391,0
112212102,0,1176,0
001000020,9555,3607,800
001010020,3041,739,181
201010020,1031,160,107
201011020,641,134,0
201011220,406,206,0
201011221,579,0,0
200000010,7542,5543,797
210000010,2120,1644,223
212002110,542,93,0
212102110,377,372,0
212122110,1560,0,0
212122111,4707,0,0
001002100,2887,950,217
001022100,509,675,155
101022100,385,422,0
121022100,291,308,0
121022110,379,390,0
001001220,846,542,0
001001221,851,0,0
012001000,1754,1288,943
012001002,723,370,265
012011002,591,73,124
012011022,314,101,206
112011022,0,405,395
112211022,0,0,1623
000001012,1714,1226,1016
000201012,553,217,518
010201012,509,210,132
210201012,323,306,0
210201112,408,374,0
212201112,1620,0,0
212211112,4755,0,0
001002001,1965,1029,971
001002021,891,235,250
001002121,369,278,135
001022121,0,430,181
001122121,0,427,370
021122121,0,1228,0
120000000,8940,2582,2500
120000001,2844,980,224
122000001,1113,243,0
122000011,679,138,0
122000211,448,198,0
122100211,437,435,0
122120211,0,1216,0
000102000,8153,2901,2822
100102000,2690,854,390
102102000,827,457,0
102112000,446,328,0
102112020,555,95,0
102112021,657,0,0
002100000,7622,5626,790
002100001,2044,1596,400
002120001,475,710,146
002120011,332,436,0
002120211,0,597,0
010000002,7546,5631,821
011200002,958,338,0
011210002,669,140,0
011210022,482,105,0
111210022,628,0,0
002020110,918,326,142
002020111,771,0,0
000100002,7574,5613,851
220110102,505,99,0
220111102,584,0,0
010000012,2171,1660,190
010000212,986,355,0
010100212,443,337,0
210100212,405,211,0
211100212,422,424,0
211102212,1620,0,0
211112212,4852,0,0
020000010,8171,2924,2737
020100010,2008,1118,788
020120010,682,347,296
021120010,371,136,255
021120012,220,192,237
121120012,423,0,408
121120212,0,0,1568
002000101,2497,635,846
002000121,613,245,508
002001121,124,285,397
022001121,195,387,0
022101121,0,779,0
022121121,0,1221,0
220011201,413,192,0
221011201,629,0,0
000211000,2131,1014,775
000211002,689,212,414
100211002,261,136,416
100211022,183,186,232
100211122,367,0,452
120211122,1529,0,0
121211122,4724,0,0
010010020,2177,1042,820
010210020,813,224,251
010211020,272,255,257
210211020,218,187,190
210211021,0,385,405
212211021,0,0,1568
202011000,824,454,137
202111000,774,0,0
010010200,2636,1107,221
010010220,601,577,139
010010221,527,140,136
210010221,184,211,221
210011221,396,399,0
210211221,0,1208,0
000010200,9267,3172,1615
001010200,1893,1220,812
001012200,775,143,415
001012210,447,51,277
021012210,194,0,426
021112210,0,0,810
021112212,0,0,1601
200000001,7524,3612,2721
200010001,1959,1243,778
202010001,555,505,267
212010001,467,65,254
212012001,383,0,203
212012101,403,0,386
212012121,0,0,1563
000102100,2738,826,401
200102100,687,343,253
210102100,262,254,252
210102120,219,0,361
210102121,0,0,741
210122121,0,0,1597
211122121,0,0,7870
000020010,5704,6031,2016
010020010,991,2542,431
010020012,315,880,137
110020012,325,368,130
110022012,327,312,0
110022112,0,785,0
110222112,0,1231,0
011002000,2530,908,592
011002020,936,90,231
011012020,586,67,134
011212020,576,0,0
011212021,780,0,0
011212221,1588,0,0
111212221,1588,0,0
100102002,763,426,107
110102002,370,409,0
110102022,392,204,0
111102022,599,0,0
102000000,8276,4196,1557
102001000,2071,1002,750
122001000,924,208,129
122011000,642,0,123
122011020,583,0,0
122011021,563,0,0
201000100,2670,1032,209
201000120,962,212,142
201100120,405,270,123
221100120,395,186,0
221101120,392,360,0
221101122,1532,0,0
221111122,1532,0,0
012000120,575,80,669
012001120,270,0,504
212001120,217,0,389
212101120,414,0,378
212101122,1614,0,0
212111122,4770,0,0
001210000,2954,727,195
001212000,1226,94,0
001212100,833,0,0
000002110,2595,1368,0
000022110,811,559,0
001022110,332,495,0
021022110,489,89,0
021022111,609,0,0
002010100,1883,1244,772
002110120,500,152,114
002112120,291,101,196
012112120,0,391,402
012112122,0,1187,0
110200000,2535,831,629
110200002,873,188,258
110200102,340,236,291
112200102,0,231,392
112200112,0,409,389
112220112,0,0,1605
000120000,5873,6249,1985
010120000,1543,1872,594
010122000,710,360,245
011122000,385,124,296
011122020,385,0,224
111122020,608,0,0
000000210,7066,4510,2341
000000211,1561,1822,520
000002211,578,371,362
001002211,133,271,361
021002211,210,0,355
021102211,0,0,745
221102211,0,0,1509
221112211,0,0,7944
000021100,1620,1551,749
000021102,445,636,257
000120010,1437,1836,611
000120211,123,420,254
200120211,208,205,155
200121211,397,407,0
202121211,0,1192,0
120010000,3067,272,652
120210000,1089,0,274
120211000,548,0,264
122211000,381,0,185
122211001,613,0,0
100200001,2832,889,222
102200001,997,235,152
102210001,833,0,0
000010201,2827,752,426
000012201,931,95,278
000112201,513,0,245
002112201,576,0,0
102112201,571,0,0
000102010,2007,1092,829
000122010,667,379,282
100122010,498,212,118
100122210,200,176,175
101122210,427,0,389
100201000,2276,463,1108
100221000,725,196,389
100221001,471,178,136
100221201,447,180,0
110221201,391,388,0
110221221,1532,0,0
111221221,1532,0,0
000100201,2083,1085,770
020100201,789,293,251
120100201,398,259,136
120100221,405,207,0
120110221,614,0,0
020100021,775,561,0
020100121,357,468,0
020120121,0,572,0
010200000,8365,3981,1656
010210000,2856,655,416
010210200,907,423,0
011210200,391,385,0
211210200,0,522,0
002001100,1828,934,1235
022001100,637,559,127
022001101,345,472,0
022021101,287,322,0
022021111,583,0,0
000021000,5807,6251,1932
000121000,969,2737,402
000121020,370,877,120
100102020,1135,181,0
100102120,816,0,0
101100220,327,452,0
101100222,0,608,0
020021112,207,191,198
020121112,390,380,0
220121112,0,1177,0
000020001,6710,4963,1956
000020101,2219,1163,554
000220101,795,465,138
010220101,330,357,128
010222101,0,592,0
210000000,6928,4523,2387
210000001,1822,938,1237
210020001,614,315,416
210021001,449,205,123
212021001,188,203,199
212121001,0,358,357
212121021,0,0,1539
212121121,0,0,7854
020001000,8439,3983,1570
020101000,2242,1533,191
220101000,735,524,0
220101100,187,594,0
222101100,0,638,0
120120010,417,127,257
122120010,400,186,0
122120011,390,392,0
020001012,582,228,533
020001112,260,267,267
022001112,180,192,179
022101112,428,383,0
022121112,1634,0,0
122121112,4823,0,0
200010100,2836,722,399
220010100,897,406,0
220010110,450,314,0
220010112,441,182,0
220011112,419,425,0
222011112,0,1193,0
102201000,650,126,539
112201000,275,153,404
112221000,0,208,401
112221001,0,386,430
112221201,0,1183,0
101002200,933,100,265
101002210,484,70,262
121002210,187,0,418
121012210,382,0,408
121212210,1572,0,0
121212211,4775,0,0
021000010,2247,437,1156
021000210,554,91,696
021000211,465,56,270
021200211,528,96,0
021210211,449,371,0
221210211,0,1188,0
000000201,7997,4151,1594
001000201,2454,649,742
001020201,894,181,283
101020201,546,144,129
101220201,500,112,0
101221201,608,0,0
120010200,988,94,254
120010201,778,0,0
101020020,785,581,0
101020021,373,396,0
101220021,414,217,0
101220121,0,807,0
121220121,0,1167,0
200001100,1967,1510,401
200201100,985,244,128
200211100,528,140,138
202211100,191,216,208
202211110,374,406,0
202211112,1514,0,0
201100000,2104,1099,754
201100020,798,332,259
201100021,475,87,263
201102021,214,0,403
201102121,420,0,399
221102121,1608,0,0
221112121,4778,0,0
012120000,461,776,149
112120000,330,495,0
112120002,280,290,0
112121002,386,401,0
112121202,0,1164,0
100020100,2299,1185,577
102020100,906,166,281
102021100,477,57,259
122021100,496,97,0
122021110,783,0,0
122221110,1580,0,0
122221111,4709,0,0
010020001,1680,1475,831
010020021,737,191,425
010021021,391,129,270
210021021,396,0,200
210121021,412,0,399
000201010,1948,1153,756
000211012,447,70,267
000211212,272,98,165
000200100,8856,2569,2413
010200100,2172,973,849
010200120,788,65,423
110200120,472,63,254
110202120,517,108,0
110202121,383,427,0
112202121,1552,0,0
112212121,4705,0,0
100200010,2244,939,770
100200012,586,162,519
100200112,119,277,382
100202112,181,391,0
110202112,0,767,0
200110200,966,78,267
201110200,453,55,278
201112200,198,0,393
211112200,393,0,419
211112202,1617,0,0
